  Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,Sma,std, ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand ,Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand ,Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand  ,Pgrid, Pbc, Pbd, Price_30_min, SoC 
 0, 0.000000, 0.000000, 0.000000, 0.000000, 0.001624, 90.000000,0.000000,165.124054,  ,0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,  ,0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,  ,0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,  ,0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,  ,0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,  ,0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
 1, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 89.874374,0.000000,165.124054,  ,1, 236.011200, 130.000000, 0.000000, 106.011200, 0.001235, 62.493309,  ,1, 169.532898, 130.000000, 0.000000, 39.532898, 0.001620, 82.148109,  ,1, 136.771194, 130.000000, 0.000000, 6.771194, 0.002263, 60.048553,  ,1, 100.642998, 100.642998, 0.000000, 0.000000, 0.001281, 95.349312,  ,1, 134.933899, 130.000000, 0.000000, 4.933899, 0.001281, 85.284470,  ,1, 135.290207, 130.000000, 0.000000, 5.290207, 0.001242, 58.844612 
 2, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 89.748749,0.000000,165.124054,  ,2, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 62.106182,  ,2, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 81.763359,  ,2, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 59.645329,  ,2, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 94.959518,  ,2, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 84.899193,  ,2, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 58.455269 
 3, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 89.623123,0.000000,165.124054,  ,3, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 61.719055,  ,3, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 81.378609,  ,3, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 59.242104,  ,3, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 94.569725,  ,3, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 84.513916,  ,3, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 58.065926 
 4, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 89.497498,0.000000,165.124054,  ,4, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 61.331928,  ,4, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 80.993858,  ,4, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 58.838879,  ,4, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 94.179932,  ,4, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 84.128639,  ,4, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 57.676582 
 5, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 89.371872,0.000000,165.124054,  ,5, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 60.944801,  ,5, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 80.609108,  ,5, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 58.435654,  ,5, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 93.790138,  ,5, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 83.743362,  ,5, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 57.287239 
 6, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 89.246246,0.000000,165.124054,  ,6, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 60.557674,  ,6, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 80.224358,  ,6, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 58.032429,  ,6, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 93.400345,  ,6, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 83.358086,  ,6, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 56.897896 
 7, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 89.120621,0.000000,165.124054,  ,7, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 60.170547,  ,7, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 79.839607,  ,7, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 57.629204,  ,7, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 93.010551,  ,7, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 82.972809,  ,7, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 56.508553 
 8, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.994995,0.000000,165.124054,  ,8, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 59.783421,  ,8, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 79.454857,  ,8, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 57.225979,  ,8, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 92.620758,  ,8, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 82.587532,  ,8, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 56.119209 
 9, 176.733093, 130.000000, 0.000000, 46.733093, 0.001624, 88.869370,0.000000,165.124054,  ,9, 274.011200, 130.000000, 0.000000, 144.011200, 0.001235, 59.396294,  ,9, 273.126007, 130.000000, 0.000000, 143.126007, 0.001620, 79.070107,  ,9, 280.611389, 130.611389, 0.000000, 150.000000, 0.002263, 56.822754,  ,9, 275.002289, 130.000000, 0.000000, 145.002289, 0.001281, 92.230965,  ,9, 273.324005, 130.000000, 0.000000, 143.324005, 0.001281, 82.202255,  ,9, 274.834991, 130.000000, 0.000000, 144.834991, 0.001242, 55.729866 
